CodGeraMT,DATA,HORA,KWH_CONSUMIDO,KWH_INJETADO_GD,POTENCIA_INSTALADA 
3013614221,12/01/2021,0,2.8,0.0,1000.0
3013614221,12/01/2021,1,2.8,0.0,1000.0
3013614221,12/01/2021,2,3.08,0.0,1000.0
3013614221,12/01/2021,3,2.8,0.0,1000.0
3013614221,12/01/2021,4,2.8,0.0,1000.0
3013614221,12/01/2021,5,2.52,0.0,1000.0
3013614221,12/01/2021,6,2.8,6.16,1000.0
3013614221,12/01/2021,7,0.0,28.84,1000.0
3013614221,12/01/2021,8,0.0,43.68,1000.0
3013614221,12/01/2021,9,0.0,154.28,1000.0
3013614221,12/01/2021,10,0.0,262.64,1000.0
3013614221,12/01/2021,11,0.0,630.28,1000.0
3013614221,12/01/2021,12,0.0,837.48,1000.0
3013614221,12/01/2021,13,0.0,632.8,1000.0
3013614221,12/01/2021,14,0.0,832.44,1000.0
3013614221,12/01/2021,15,0.0,993.16,1000.0
3013614221,12/01/2021,16,0.0,873.04,1000.0
3013614221,12/01/2021,17,0.0,449.68,1000.0
3013614221,12/01/2021,18,1.12,36.96,1000.0
3013614221,12/01/2021,19,3.64,0.0,1000.0
3013614221,12/01/2021,20,3.64,0.0,1000.0
3013614221,12/01/2021,21,3.08,0.0,1000.0
3013614221,12/01/2021,22,2.8,0.0,1000.0
3013614221,12/01/2021,23,2.8,0.0,1000.0
3013614221,13/01/2021,0,3.08,0.0,1000.0
3013614221,13/01/2021,1,2.8,0.0,1000.0
3013614221,13/01/2021,2,2.52,0.0,1000.0
3013614221,13/01/2021,3,2.8,0.0,1000.0
3013614221,13/01/2021,4,2.8,0.0,1000.0
3013614221,13/01/2021,5,2.24,1.96,1000.0
3013614221,13/01/2021,6,0.0,234.64,1000.0
3013614221,13/01/2021,7,0.0,651.28,1000.0
3013614221,13/01/2021,8,0.0,348.88,1000.0
3013614221,13/01/2021,9,0.0,637.84,1000.0
3013614221,13/01/2021,10,0.0,656.88,1000.0
3013614221,13/01/2021,11,0.0,866.6,1000.0
3013614221,13/01/2021,12,0.0,760.48,1000.0
3013614221,13/01/2021,13,0.0,696.08,1000.0
3013614221,13/01/2021,14,0.0,916.16,1000.0
3013614221,13/01/2021,15,0.0,816.76,1000.0
3013614221,13/01/2021,16,0.0,871.92,1000.0
3013614221,13/01/2021,17,0.0,437.08,1000.0
3013614221,13/01/2021,18,1.4,36.68,1000.0
3013614221,13/01/2021,19,3.64,0.0,1000.0
3013614221,13/01/2021,20,3.64,0.0,1000.0
3013614221,13/01/2021,21,3.36,0.0,1000.0
3013614221,13/01/2021,22,3.64,0.0,1000.0
3013614221,13/01/2021,23,2.52,0.0,1000.0
3013614221,14/01/2021,0,2.8,0.0,1000.0
3013614221,14/01/2021,1,2.8,0.0,1000.0
3013614221,14/01/2021,2,2.8,0.0,1000.0
3013614221,14/01/2021,3,2.8,0.0,1000.0
3013614221,14/01/2021,4,2.8,0.0,1000.0
3013614221,14/01/2021,5,1.96,1.12,1000.0
3013614221,14/01/2021,6,0.0,66.08,1000.0
3013614221,14/01/2021,7,0.0,363.16,1000.0
3013614221,14/01/2021,8,0.0,579.04,1000.0
3013614221,14/01/2021,9,0.0,739.48,1000.0
3013614221,14/01/2021,10,0.0,927.64,1000.0
3013614221,14/01/2021,11,0.0,700.56,1000.0
3013614221,14/01/2021,12,0.0,647.08,1000.0
3013614221,14/01/2021,13,0.0,813.12,1000.0
3013614221,14/01/2021,14,0.0,894.6,1000.0
3013614221,14/01/2021,15,0.0,794.08,1000.0
3013614221,14/01/2021,16,0.0,625.24,1000.0
3013614221,14/01/2021,17,0.0,467.88,1000.0
3013614221,14/01/2021,18,1.68,26.88,1000.0
3013614221,14/01/2021,19,3.64,0.0,1000.0
3013614221,14/01/2021,20,3.64,0.0,1000.0
3013614221,14/01/2021,21,3.64,0.0,1000.0
3013614221,14/01/2021,22,3.08,0.0,1000.0
3013614221,14/01/2021,23,2.8,0.0,1000.0
3013614221,15/01/2021,0,2.8,0.0,1000.0
3013614221,15/01/2021,1,3.08,0.0,1000.0
3013614221,15/01/2021,2,2.8,0.0,1000.0
3013614221,15/01/2021,3,2.8,0.0,1000.0
3013614221,15/01/2021,4,2.8,0.0,1000.0
3013614221,15/01/2021,5,2.8,0.0,1000.0
3013614221,15/01/2021,6,1.96,35.84,1000.0
3013614221,15/01/2021,7,0.0,345.8,1000.0
3013614221,15/01/2021,8,0.0,907.76,1000.0
3013614221,15/01/2021,9,0.0,925.96,1000.0
3013614221,15/01/2021,10,0.0,843.36,1000.0
3013614221,15/01/2021,11,0.0,805.28,1000.0
3013614221,15/01/2021,12,0.0,885.92,1000.0
3013614221,15/01/2021,13,0.0,912.52,1000.0
3013614221,15/01/2021,14,0.0,796.32,1000.0
3013614221,15/01/2021,15,0.0,644.56,1000.0
3013614221,15/01/2021,16,0.0,851.2,1000.0
3013614221,15/01/2021,17,0.0,318.36,1000.0
3013614221,15/01/2021,18,1.4,53.76,1000.0
3013614221,15/01/2021,19,3.64,0.0,1000.0
3013614221,15/01/2021,20,3.64,0.0,1000.0
3013614221,15/01/2021,21,3.36,0.0,1000.0
3013614221,15/01/2021,22,3.36,0.0,1000.0
3013614221,15/01/2021,23,2.8,0.0,1000.0
3013614221,16/01/2021,0,2.8,0.0,1000.0
3013614221,16/01/2021,1,2.8,0.0,1000.0
3013614221,16/01/2021,2,2.8,0.0,1000.0
3013614221,16/01/2021,3,2.8,0.0,1000.0
3013614221,16/01/2021,4,3.08,0.0,1000.0
3013614221,16/01/2021,5,2.24,2.24,1000.0
3013614221,16/01/2021,6,0.0,95.76,1000.0
3013614221,16/01/2021,7,0.0,296.8,1000.0
3013614221,16/01/2021,8,0.0,399.28,1000.0
3013614221,16/01/2021,9,0.0,675.64,1000.0
3013614221,16/01/2021,10,0.0,765.24,1000.0
3013614221,16/01/2021,11,0.0,900.48,1000.0
3013614221,16/01/2021,12,0.0,806.68,1000.0
3013614221,16/01/2021,13,0.0,922.88,1000.0
3013614221,16/01/2021,14,0.0,732.76,1000.0
3013614221,16/01/2021,15,0.0,99.96,1000.0
3013614221,16/01/2021,16,0.0,178.08,1000.0
3013614221,16/01/2021,17,0.0,140.0,1000.0
3013614221,16/01/2021,18,1.4,9.52,1000.0
3013614221,16/01/2021,19,3.36,0.0,1000.0
3013614221,16/01/2021,20,2.8,0.0,1000.0
3013614221,16/01/2021,21,2.8,0.0,1000.0
3013614221,16/01/2021,22,2.8,0.0,1000.0
3013614221,16/01/2021,23,2.8,0.0,1000.0
3013614221,17/01/2021,0,2.8,0.0,1000.0
3013614221,17/01/2021,1,2.8,0.0,1000.0
