CodGeraMT,DATA,HORA,KWH_CONSUMIDO,KWH_INJETADO_GD,POTENCIA_INSTALADA 
3013586185,12/01/2021,0,2.8,0.0,1000.0
3013586185,12/01/2021,1,2.52,0.0,1000.0
3013586185,12/01/2021,2,2.8,0.0,1000.0
3013586185,12/01/2021,3,2.52,0.0,1000.0
3013586185,12/01/2021,4,2.52,0.0,1000.0
3013586185,12/01/2021,5,2.8,0.0,1000.0
3013586185,12/01/2021,6,0.28,1.96,1000.0
3013586185,12/01/2021,7,0.0,26.6,1000.0
3013586185,12/01/2021,8,0.0,39.48,1000.0
3013586185,12/01/2021,9,0.0,15.4,1000.0
3013586185,12/01/2021,10,0.0,49.0,1000.0
3013586185,12/01/2021,11,0.0,260.12,1000.0
3013586185,12/01/2021,12,0.0,300.72,1000.0
3013586185,12/01/2021,13,0.0,559.72,1000.0
3013586185,12/01/2021,14,0.0,504.0,1000.0
3013586185,12/01/2021,15,0.0,474.88,1000.0
3013586185,12/01/2021,16,0.0,492.8,1000.0
3013586185,12/01/2021,17,0.0,277.48,1000.0
3013586185,12/01/2021,18,1.12,14.84,1000.0
3013586185,12/01/2021,19,2.8,0.0,1000.0
3013586185,12/01/2021,20,2.8,0.0,1000.0
3013586185,12/01/2021,21,2.8,0.0,1000.0
3013586185,12/01/2021,22,2.52,0.0,1000.0
3013586185,12/01/2021,23,2.52,0.0,1000.0
3013586185,13/01/2021,0,2.8,0.0,1000.0
3013586185,13/01/2021,1,2.52,0.0,1000.0
3013586185,13/01/2021,2,2.8,0.0,1000.0
3013586185,13/01/2021,3,2.52,0.0,1000.0
3013586185,13/01/2021,4,2.8,0.0,1000.0
3013586185,13/01/2021,5,1.4,4.2,1000.0
3013586185,13/01/2021,6,0.0,128.52,1000.0
3013586185,13/01/2021,7,0.0,194.32,1000.0
3013586185,13/01/2021,8,0.0,363.72,1000.0
3013586185,13/01/2021,9,0.0,337.96,1000.0
3013586185,13/01/2021,10,0.0,508.2,1000.0
3013586185,13/01/2021,11,0.0,492.24,1000.0
3013586185,13/01/2021,12,0.0,709.24,1000.0
3013586185,13/01/2021,13,0.0,582.68,1000.0
3013586185,13/01/2021,14,0.0,526.96,1000.0
3013586185,13/01/2021,15,0.0,519.96,1000.0
3013586185,13/01/2021,16,0.0,485.8,1000.0
3013586185,13/01/2021,17,0.0,270.2,1000.0
3013586185,13/01/2021,18,1.12,14.84,1000.0
