CodGeraMT,DATA,HORA,KWH_CONSUMIDO,KWH_INJETADO_GD,POTENCIA_INSTALADA 
3013694998,12/01/2021,0,3.22,0.0,1000.0
3013694998,12/01/2021,1,3.08,0.0,1000.0
3013694998,12/01/2021,2,3.22,0.0,1000.0
3013694998,12/01/2021,3,3.36,0.0,1000.0
3013694998,12/01/2021,4,3.22,0.0,1000.0
3013694998,12/01/2021,5,3.08,0.0,1000.0
3013694998,12/01/2021,6,0.0,43.82,1000.0
3013694998,12/01/2021,7,0.0,333.76,1000.0
3013694998,12/01/2021,8,0.0,497.42,1000.0
3013694998,12/01/2021,9,0.0,754.32,1000.0
3013694998,12/01/2021,10,0.0,726.74,1000.0
3013694998,12/01/2021,11,0.0,736.68,1000.0
3013694998,12/01/2021,12,0.0,658.84,1000.0
3013694998,12/01/2021,13,0.0,834.54,1000.0
3013694998,12/01/2021,14,0.0,901.04,1000.0
3013694998,12/01/2021,15,0.0,940.24,1000.0
3013694998,12/01/2021,16,0.0,819.42,1000.0
3013694998,12/01/2021,17,0.0,490.28,1000.0
3013694998,12/01/2021,18,1.26,21.42,1000.0
3013694998,12/01/2021,19,3.08,0.0,1000.0
3013694998,12/01/2021,20,3.22,0.0,1000.0
3013694998,12/01/2021,21,3.36,0.0,1000.0
3013694998,12/01/2021,22,3.22,0.0,1000.0
3013694998,12/01/2021,23,3.22,0.0,1000.0
3013694998,13/01/2021,0,3.22,0.0,1000.0
3013694998,13/01/2021,1,3.36,0.0,1000.0
3013694998,13/01/2021,2,3.22,0.0,1000.0
3013694998,13/01/2021,3,3.36,0.0,1000.0
3013694998,13/01/2021,4,3.22,0.0,1000.0
3013694998,13/01/2021,5,1.96,2.8,1000.0
3013694998,13/01/2021,6,0.0,135.8,1000.0
3013694998,13/01/2021,7,0.0,398.72,1000.0
3013694998,13/01/2021,8,0.0,898.52,1000.0
3013694998,13/01/2021,9,0.0,809.62,1000.0
3013694998,13/01/2021,10,0.0,841.82,1000.0
3013694998,13/01/2021,11,0.0,822.36,1000.0
3013694998,13/01/2021,12,0.0,617.82,1000.0
3013694998,13/01/2021,13,0.0,583.94,1000.0
3013694998,13/01/2021,14,0.0,943.6,1000.0
3013694998,13/01/2021,15,0.0,577.64,1000.0
3013694998,13/01/2021,16,0.0,799.96,1000.0
3013694998,13/01/2021,17,0.0,531.16,1000.0
3013694998,13/01/2021,18,1.26,36.68,1000.0
3013694998,13/01/2021,19,3.08,0.0,1000.0
3013694998,13/01/2021,20,3.22,0.0,1000.0
3013694998,13/01/2021,21,3.36,0.0,1000.0
3013694998,13/01/2021,22,3.22,0.0,1000.0
3013694998,13/01/2021,23,3.22,0.0,1000.0
3013694998,14/01/2021,0,3.22,0.0,1000.0
3013694998,14/01/2021,1,3.36,0.0,1000.0
3013694998,14/01/2021,2,3.22,0.0,1000.0
3013694998,14/01/2021,3,3.22,0.0,1000.0
3013694998,14/01/2021,4,3.22,0.0,1000.0
3013694998,14/01/2021,5,1.96,4.62,1000.0
3013694998,14/01/2021,6,0.0,213.78,1000.0
3013694998,14/01/2021,7,0.0,697.2,1000.0
3013694998,14/01/2021,8,0.0,895.16,1000.0
3013694998,14/01/2021,9,0.0,968.38,1000.0
3013694998,14/01/2021,10,0.0,835.52,1000.0
3013694998,14/01/2021,11,0.0,511.42,1000.0
3013694998,14/01/2021,12,0.0,711.2,1000.0
3013694998,14/01/2021,13,0.0,605.08,1000.0
3013694998,14/01/2021,14,0.0,491.4,1000.0
3013694998,14/01/2021,15,0.0,636.86,1000.0
3013694998,14/01/2021,16,0.0,301.84,1000.0
3013694998,14/01/2021,17,0.0,134.26,1000.0
3013694998,14/01/2021,18,1.54,0.98,1000.0
3013694998,14/01/2021,19,3.08,0.0,1000.0
3013694998,14/01/2021,20,3.22,0.0,1000.0
3013694998,14/01/2021,21,3.22,0.0,1000.0
3013694998,14/01/2021,22,3.22,0.0,1000.0
3013694998,14/01/2021,23,3.22,0.0,1000.0
3013694998,15/01/2021,0,3.08,0.0,1000.0
3013694998,15/01/2021,1,3.22,0.0,1000.0
3013694998,15/01/2021,2,3.22,0.0,1000.0
3013694998,15/01/2021,3,3.22,0.0,1000.0
3013694998,15/01/2021,4,3.22,0.0,1000.0
3013694998,15/01/2021,5,2.38,1.54,1000.0
3013694998,15/01/2021,6,0.0,48.3,1000.0
3013694998,15/01/2021,7,0.0,228.34,1000.0
3013694998,15/01/2021,8,0.0,952.98,1000.0
3013694998,15/01/2021,9,0.0,942.2,1000.0
3013694998,15/01/2021,10,0.0,771.96,1000.0
3013694998,15/01/2021,11,0.0,832.72,1000.0
3013694998,15/01/2021,12,0.0,775.32,1000.0
3013694998,15/01/2021,13,0.0,718.06,1000.0
3013694998,15/01/2021,14,0.0,661.08,1000.0
3013694998,15/01/2021,15,0.0,687.68,1000.0
3013694998,15/01/2021,16,0.0,593.88,1000.0
3013694998,15/01/2021,17,0.0,140.98,1000.0
3013694998,15/01/2021,18,1.4,14.42,1000.0
3013694998,15/01/2021,19,3.22,0.0,1000.0
3013694998,15/01/2021,20,3.08,0.0,1000.0
3013694998,15/01/2021,21,3.22,0.0,1000.0
3013694998,15/01/2021,22,3.22,0.0,1000.0
3013694998,15/01/2021,23,3.36,0.0,1000.0
3013694998,16/01/2021,0,3.36,0.0,1000.0
3013694998,16/01/2021,1,3.22,0.0,1000.0
3013694998,16/01/2021,2,3.22,0.0,1000.0
3013694998,16/01/2021,3,3.36,0.0,1000.0
3013694998,16/01/2021,4,3.22,0.0,1000.0
3013694998,16/01/2021,5,2.24,5.32,1000.0
3013694998,16/01/2021,6,0.0,220.22,1000.0
3013694998,16/01/2021,7,0.0,477.82,1000.0
3013694998,16/01/2021,8,0.0,767.34,1000.0
3013694998,16/01/2021,9,0.0,893.62,1000.0
3013694998,16/01/2021,10,0.0,784.28,1000.0
3013694998,16/01/2021,11,0.0,662.62,1000.0
3013694998,16/01/2021,12,0.0,553.84,1000.0
3013694998,16/01/2021,13,0.0,371.56,1000.0
3013694998,16/01/2021,14,0.0,264.32,1000.0
3013694998,16/01/2021,15,0.0,201.04,1000.0
3013694998,16/01/2021,16,0.0,107.52,1000.0
3013694998,16/01/2021,17,0.0,68.04,1000.0
3013694998,16/01/2021,18,1.26,7.98,1000.0
3013694998,16/01/2021,19,3.22,0.0,1000.0
3013694998,16/01/2021,20,3.22,0.0,1000.0
3013694998,16/01/2021,21,3.22,0.0,1000.0
3013694998,16/01/2021,22,3.22,0.0,1000.0
3013694998,16/01/2021,23,3.36,0.0,1000.0
3013694998,17/01/2021,0,3.22,0.0,1000.0
