CodGeraMT,DATA,HORA,KWH_CONSUMIDO,KWH_INJETADO_GD,POTENCIA_INSTALADA 
3012034985,12/01/2021,0,0.0,2938.32,3000.0
3012034985,12/01/2021,1,0.0,2940.0,3000.0
3012034985,12/01/2021,2,0.0,2938.32,3000.0
3012034985,12/01/2021,3,0.0,2940.0,3000.0
3012034985,12/01/2021,4,0.0,2941.68,3000.0
3012034985,12/01/2021,5,0.0,2938.32,3000.0
3012034985,12/01/2021,6,0.0,2938.32,3000.0
3012034985,12/01/2021,7,0.0,2921.52,3000.0
3012034985,12/01/2021,8,0.0,2924.88,3000.0
3012034985,12/01/2021,9,0.0,2946.72,3000.0
3012034985,12/01/2021,10,0.0,2946.72,3000.0
3012034985,12/01/2021,11,0.0,2938.32,3000.0
3012034985,12/01/2021,12,0.0,2936.64,3000.0
3012034985,12/01/2021,13,0.0,2928.24,3000.0
3012034985,12/01/2021,14,0.0,2924.88,3000.0
3012034985,12/01/2021,15,0.0,2918.16,3000.0
3012034985,12/01/2021,16,0.0,2926.56,3000.0
3012034985,12/01/2021,17,0.0,2943.36,3000.0
3012034985,12/01/2021,18,0.0,2928.24,3000.0
3012034985,12/01/2021,19,0.0,2928.24,3000.0
3012034985,12/01/2021,20,0.0,2936.64,3000.0
3012034985,12/01/2021,21,0.0,2943.36,3000.0
3012034985,12/01/2021,22,0.0,2938.32,3000.0
3012034985,12/01/2021,23,0.0,2936.64,3000.0
3012034985,13/01/2021,0,0.0,2913.12,3000.0
3012034985,13/01/2021,1,0.0,2926.56,3000.0
3012034985,13/01/2021,2,0.0,2929.92,3000.0
3012034985,13/01/2021,3,0.0,2926.56,3000.0
3012034985,13/01/2021,4,0.0,2923.2,3000.0
3012034985,13/01/2021,5,0.0,2887.92,3000.0
3012034985,13/01/2021,6,0.0,2839.2,3000.0
3012034985,13/01/2021,7,0.0,2830.8,3000.0
3012034985,13/01/2021,8,0.0,2834.16,3000.0
3012034985,13/01/2021,9,0.0,2827.44,3000.0
3012034985,13/01/2021,10,0.0,2824.08,3000.0
3012034985,13/01/2021,11,0.0,2822.4,3000.0
3012034985,13/01/2021,12,0.0,2808.96,3000.0
3012034985,13/01/2021,13,0.0,2773.68,3000.0
3012034985,13/01/2021,14,0.0,2661.12,3000.0
3012034985,13/01/2021,15,0.0,2681.28,3000.0
3012034985,13/01/2021,16,0.0,2677.92,3000.0
3012034985,13/01/2021,17,0.0,2657.76,3000.0
3012034985,13/01/2021,18,0.0,2649.36,3000.0
3012034985,13/01/2021,19,0.0,2634.24,3000.0
3012034985,13/01/2021,20,0.0,2647.68,3000.0
3012034985,13/01/2021,21,0.0,2651.04,3000.0
