CodGeraMT,DATA,HORA,KWH_CONSUMIDO,KWH_INJETADO_GD,POTENCIA_INSTALADA 
3013554201,12/01/2021,0,6.72,0.0,2535.0
3013554201,12/01/2021,1,6.72,0.0,2535.0
3013554201,12/01/2021,2,7.0,0.0,2535.0
3013554201,12/01/2021,3,6.72,0.0,2535.0
3013554201,12/01/2021,4,7.0,0.0,2535.0
3013554201,12/01/2021,5,3.64,1.68,2535.0
3013554201,12/01/2021,6,0.0,113.96,2535.0
3013554201,12/01/2021,7,0.0,236.6,2535.0
3013554201,12/01/2021,8,0.0,270.2,2535.0
3013554201,12/01/2021,9,0.0,740.88,2535.0
3013554201,12/01/2021,10,0.0,987.84,2535.0
3013554201,12/01/2021,11,0.0,2220.96,2535.0
3013554201,12/01/2021,12,0.0,2225.44,2535.0
3013554201,12/01/2021,13,0.0,2348.64,2535.0
3013554201,12/01/2021,14,0.0,2054.08,2535.0
3013554201,12/01/2021,15,0.0,1567.44,2535.0
3013554201,12/01/2021,16,0.0,1026.48,2535.0
3013554201,12/01/2021,17,0.0,245.28,2535.0
3013554201,12/01/2021,18,3.08,8.12,2535.0
3013554201,12/01/2021,19,6.72,0.0,2535.0
3013554201,12/01/2021,20,6.72,0.0,2535.0
3013554201,12/01/2021,21,6.72,0.0,2535.0
3013554201,12/01/2021,22,6.44,0.0,2535.0
3013554201,12/01/2021,23,6.72,0.0,2535.0
3013554201,13/01/2021,0,6.72,0.0,2535.0
3013554201,13/01/2021,1,6.72,0.0,2535.0
3013554201,13/01/2021,2,7.0,0.0,2535.0
3013554201,13/01/2021,3,7.0,0.0,2535.0
3013554201,13/01/2021,4,6.72,0.0,2535.0
3013554201,13/01/2021,5,2.8,15.68,2535.0
3013554201,13/01/2021,6,0.0,225.68,2535.0
3013554201,13/01/2021,7,0.0,615.44,2535.0
3013554201,13/01/2021,8,0.0,1017.8,2535.0
3013554201,13/01/2021,9,0.0,1610.56,2535.0
3013554201,13/01/2021,10,0.0,1862.84,2535.0
3013554201,13/01/2021,11,0.0,1484.28,2535.0
3013554201,13/01/2021,12,0.0,1120.84,2535.0
3013554201,13/01/2021,13,0.0,1996.12,2535.0
3013554201,13/01/2021,14,0.0,2026.08,2535.0
3013554201,13/01/2021,15,0.0,1640.52,2535.0
3013554201,13/01/2021,16,0.0,463.4,2535.0
3013554201,13/01/2021,17,0.0,376.88,2535.0
3013554201,13/01/2021,18,3.92,13.44,2535.0
3013554201,13/01/2021,19,7.0,0.0,2535.0
3013554201,13/01/2021,20,6.72,0.0,2535.0
3013554201,13/01/2021,21,6.44,0.0,2535.0
3013554201,13/01/2021,22,6.72,0.0,2535.0
3013554201,13/01/2021,23,6.44,0.0,2535.0
3013554201,14/01/2021,0,6.72,0.0,2535.0
3013554201,14/01/2021,1,7.0,0.0,2535.0
3013554201,14/01/2021,2,6.72,0.0,2535.0
3013554201,14/01/2021,3,6.72,0.0,2535.0
3013554201,14/01/2021,4,7.0,0.0,2535.0
3013554201,14/01/2021,5,3.08,19.88,2535.0
3013554201,14/01/2021,6,0.0,273.56,2535.0
3013554201,14/01/2021,7,0.0,948.08,2535.0
3013554201,14/01/2021,8,0.0,1545.04,2535.0
3013554201,14/01/2021,9,0.0,1657.88,2535.0
3013554201,14/01/2021,10,0.0,2128.84,2535.0
3013554201,14/01/2021,11,0.0,1551.2,2535.0
3013554201,14/01/2021,12,0.0,1348.48,2535.0
3013554201,14/01/2021,13,0.0,1027.04,2535.0
3013554201,14/01/2021,14,0.0,1675.24,2535.0
3013554201,14/01/2021,15,0.0,847.28,2535.0
3013554201,14/01/2021,16,0.0,983.64,2535.0
3013554201,14/01/2021,17,0.0,266.0,2535.0
3013554201,14/01/2021,18,3.36,7.84,2535.0
3013554201,14/01/2021,19,6.44,0.0,2535.0
3013554201,14/01/2021,20,6.72,0.0,2535.0
3013554201,14/01/2021,21,6.72,0.0,2535.0
3013554201,14/01/2021,22,6.44,0.0,2535.0
3013554201,14/01/2021,23,6.72,0.0,2535.0
3013554201,15/01/2021,0,6.72,0.0,2535.0
3013554201,15/01/2021,1,6.72,0.0,2535.0
3013554201,15/01/2021,2,7.0,0.0,2535.0
3013554201,15/01/2021,3,6.72,0.0,2535.0
3013554201,15/01/2021,4,7.0,0.0,2535.0
3013554201,15/01/2021,5,3.36,13.44,2535.0
3013554201,15/01/2021,6,0.0,263.76,2535.0
3013554201,15/01/2021,7,0.0,720.72,2535.0
3013554201,15/01/2021,8,0.0,1131.2,2535.0
3013554201,15/01/2021,9,0.0,1360.8,2535.0
3013554201,15/01/2021,10,0.0,1639.12,2535.0
3013554201,15/01/2021,11,0.0,2332.68,2535.0
3013554201,15/01/2021,12,0.0,1847.16,2535.0
3013554201,15/01/2021,13,0.0,2227.4,2535.0
3013554201,15/01/2021,14,0.0,1932.28,2535.0
3013554201,15/01/2021,15,0.0,1351.0,2535.0
3013554201,15/01/2021,16,0.0,584.92,2535.0
3013554201,15/01/2021,17,0.0,127.12,2535.0
3013554201,15/01/2021,18,3.08,22.96,2535.0
3013554201,15/01/2021,19,6.72,0.0,2535.0
3013554201,15/01/2021,20,6.44,0.0,2535.0
3013554201,15/01/2021,21,6.72,0.0,2535.0
3013554201,15/01/2021,22,6.44,0.0,2535.0
3013554201,15/01/2021,23,6.72,0.0,2535.0
3013554201,16/01/2021,0,7.0,0.0,2535.0
3013554201,16/01/2021,1,6.72,0.0,2535.0
3013554201,16/01/2021,2,6.72,0.0,2535.0
3013554201,16/01/2021,3,7.0,0.0,2535.0
3013554201,16/01/2021,4,6.72,0.0,2535.0
3013554201,16/01/2021,5,3.64,15.68,2535.0
3013554201,16/01/2021,6,0.0,244.44,2535.0
3013554201,16/01/2021,7,0.0,880.04,2535.0
