CodGeraMT,DATA,HORA,KWH_CONSUMIDO,KWH_INJETADO_GD,POTENCIA_INSTALADA 
3013567635,12/01/2021,0,0.0,908.04,2000.0
3013567635,12/01/2021,1,0.0,913.92,2000.0
3013567635,12/01/2021,2,0.0,911.4,2000.0
3013567635,12/01/2021,3,0.0,902.16,2000.0
3013567635,12/01/2021,4,0.0,885.36,2000.0
3013567635,12/01/2021,5,0.0,882.84,2000.0
3013567635,12/01/2021,6,0.0,879.48,2000.0
3013567635,12/01/2021,7,0.0,876.12,2000.0
3013567635,12/01/2021,8,0.0,876.96,2000.0
3013567635,12/01/2021,9,0.0,876.96,2000.0
3013567635,12/01/2021,10,0.0,876.96,2000.0
3013567635,12/01/2021,11,0.0,884.52,2000.0
3013567635,12/01/2021,12,0.0,882.0,2000.0
3013567635,12/01/2021,13,0.0,878.64,2000.0
3013567635,12/01/2021,14,0.0,876.12,2000.0
3013567635,12/01/2021,15,0.0,605.64,2000.0
3013567635,12/01/2021,16,0.0,67.2,2000.0
3013567635,12/01/2021,17,0.0,704.76,2000.0
3013567635,12/01/2021,18,0.0,901.32,2000.0
3013567635,12/01/2021,19,0.0,886.2,2000.0
3013567635,12/01/2021,20,0.0,891.24,2000.0
3013567635,12/01/2021,21,0.0,892.08,2000.0
3013567635,12/01/2021,22,0.0,891.24,2000.0
3013567635,12/01/2021,23,0.0,894.6,2000.0
3013567635,13/01/2021,0,0.0,858.48,2000.0
3013567635,13/01/2021,1,0.0,862.68,2000.0
3013567635,13/01/2021,2,0.0,847.56,2000.0
3013567635,13/01/2021,3,0.0,824.04,2000.0
3013567635,13/01/2021,4,0.0,823.2,2000.0
3013567635,13/01/2021,5,0.0,824.04,2000.0
3013567635,13/01/2021,6,0.0,820.68,2000.0
3013567635,13/01/2021,7,0.0,819.84,2000.0
3013567635,13/01/2021,8,0.0,818.16,2000.0
3013567635,13/01/2021,9,0.0,852.6,2000.0
3013567635,13/01/2021,10,0.0,860.16,2000.0
3013567635,13/01/2021,11,0.0,864.36,2000.0
3013567635,13/01/2021,12,0.0,861.0,2000.0
3013567635,13/01/2021,13,0.0,861.0,2000.0
3013567635,13/01/2021,14,0.0,863.52,2000.0
3013567635,13/01/2021,15,0.0,861.0,2000.0
3013567635,13/01/2021,16,0.0,856.8,2000.0
3013567635,13/01/2021,17,0.0,859.32,2000.0
3013567635,13/01/2021,18,0.0,856.8,2000.0
3013567635,13/01/2021,19,0.0,854.28,2000.0
3013567635,13/01/2021,20,0.0,855.12,2000.0
3013567635,13/01/2021,21,0.0,855.96,2000.0
3013567635,13/01/2021,22,0.0,860.16,2000.0
3013567635,13/01/2021,23,0.0,819.0,2000.0
