CodGeraMT,DATA,HORA,KWH_CONSUMIDO,KWH_INJETADO_GD,POTENCIA_INSTALADA 
3013754821,12/01/2021,0,1.16,0.0,1915.0
3013754821,12/01/2021,1,1.26,0.0,1915.0
3013754821,12/01/2021,2,1.26,0.0,1915.0
3013754821,12/01/2021,3,1.16,0.0,1915.0
3013754821,12/01/2021,4,1.26,0.0,1915.0
3013754821,12/01/2021,5,1.26,0.0,1915.0
3013754821,12/01/2021,6,0.32,9.87,1915.0
3013754821,12/01/2021,7,0.0,58.59,1915.0
3013754821,12/01/2021,8,0.0,118.97,1915.0
3013754821,12/01/2021,9,0.0,129.68,1915.0
3013754821,12/01/2021,10,0.0,211.05,1915.0
3013754821,12/01/2021,11,0.0,183.86,1915.0
3013754821,12/01/2021,12,0.11,114.35,1915.0
3013754821,12/01/2021,13,0.63,0.0,1915.0
3013754821,12/01/2021,14,0.0,1.26,1915.0
3013754821,12/01/2021,15,0.0,9.14,1915.0
3013754821,12/01/2021,16,0.0,16.28,1915.0
3013754821,12/01/2021,17,0.0,10.4,1915.0
3013754821,12/01/2021,18,0.42,1.79,1915.0
3013754821,12/01/2021,19,1.26,0.0,1915.0
3013754821,12/01/2021,20,1.16,0.0,1915.0
3013754821,12/01/2021,21,1.37,0.0,1915.0
3013754821,12/01/2021,22,1.16,0.0,1915.0
3013754821,12/01/2021,23,1.26,0.0,1915.0
3013754821,13/01/2021,0,1.26,0.0,1915.0
3013754821,13/01/2021,1,1.26,0.0,1915.0
3013754821,13/01/2021,2,1.26,0.0,1915.0
3013754821,13/01/2021,3,1.26,0.0,1915.0
3013754821,13/01/2021,4,1.16,0.0,1915.0
3013754821,13/01/2021,5,1.26,0.0,1915.0
3013754821,13/01/2021,6,0.11,7.77,1915.0
3013754821,13/01/2021,7,0.0,81.9,1915.0
3013754821,13/01/2021,8,0.0,172.94,1915.0
3013754821,13/01/2021,9,0.0,205.38,1915.0
3013754821,13/01/2021,10,0.0,227.54,1915.0
3013754821,13/01/2021,11,0.0,225.75,1915.0
3013754821,13/01/2021,12,0.0,221.55,1915.0
3013754821,13/01/2021,13,0.0,227.85,1915.0
3013754821,13/01/2021,14,0.0,91.04,1915.0
3013754821,13/01/2021,15,0.84,1.68,1915.0
3013754821,13/01/2021,16,0.0,0.95,1915.0
3013754821,13/01/2021,17,0.0,6.41,1915.0
3013754821,13/01/2021,18,0.42,1.68,1915.0
3013754821,13/01/2021,19,1.26,0.0,1915.0
3013754821,13/01/2021,20,1.16,0.0,1915.0
3013754821,13/01/2021,21,1.26,0.0,1915.0
3013754821,13/01/2021,22,1.26,0.0,1915.0
3013754821,13/01/2021,23,1.26,0.0,1915.0
3013754821,14/01/2021,0,1.16,0.0,1915.0
3013754821,14/01/2021,1,1.26,0.0,1915.0
3013754821,14/01/2021,2,1.26,0.0,1915.0
3013754821,14/01/2021,3,1.26,0.0,1915.0
3013754821,14/01/2021,4,1.26,0.0,1915.0
3013754821,14/01/2021,5,1.16,0.0,1915.0
3013754821,14/01/2021,6,0.11,7.46,1915.0
3013754821,14/01/2021,7,0.21,6.3,1915.0
3013754821,14/01/2021,8,0.0,15.86,1915.0
3013754821,14/01/2021,9,0.0,34.34,1915.0
3013754821,14/01/2021,10,0.0,36.23,1915.0
3013754821,14/01/2021,11,0.0,106.68,1915.0
3013754821,14/01/2021,12,0.0,117.81,1915.0
3013754821,14/01/2021,13,0.0,36.44,1915.0
3013754821,14/01/2021,14,0.0,40.53,1915.0
3013754821,14/01/2021,15,0.0,79.91,1915.0
3013754821,14/01/2021,16,0.0,66.57,1915.0
3013754821,14/01/2021,17,0.0,40.11,1915.0
3013754821,14/01/2021,18,0.32,4.2,1915.0
3013754821,14/01/2021,19,1.26,0.0,1915.0
3013754821,14/01/2021,20,1.26,0.0,1915.0
3013754821,14/01/2021,21,1.26,0.0,1915.0
3013754821,14/01/2021,22,1.26,0.0,1915.0
3013754821,14/01/2021,23,1.37,0.0,1915.0
3013754821,15/01/2021,0,1.26,0.0,1915.0
3013754821,15/01/2021,1,1.26,0.0,1915.0
3013754821,15/01/2021,2,1.26,0.0,1915.0
3013754821,15/01/2021,3,1.16,0.0,1915.0
3013754821,15/01/2021,4,1.26,0.0,1915.0
3013754821,15/01/2021,5,1.26,0.0,1915.0
3013754821,15/01/2021,6,0.21,5.88,1915.0
3013754821,15/01/2021,7,0.0,36.12,1915.0
3013754821,15/01/2021,8,0.0,98.28,1915.0
3013754821,15/01/2021,9,0.0,154.88,1915.0
3013754821,15/01/2021,10,0.0,216.3,1915.0
3013754821,15/01/2021,11,0.0,176.72,1915.0
3013754821,15/01/2021,12,0.0,232.37,1915.0
3013754821,15/01/2021,13,0.0,94.08,1915.0
3013754821,15/01/2021,14,0.0,5.78,1915.0
3013754821,15/01/2021,15,0.0,3.05,1915.0
3013754821,15/01/2021,16,0.0,15.75,1915.0
3013754821,15/01/2021,17,0.0,24.99,1915.0
3013754821,15/01/2021,18,0.21,5.88,1915.0
3013754821,15/01/2021,19,1.26,0.0,1915.0
3013754821,15/01/2021,20,1.26,0.0,1915.0
3013754821,15/01/2021,21,1.26,0.0,1915.0
3013754821,15/01/2021,22,1.26,0.0,1915.0
3013754821,15/01/2021,23,1.37,0.0,1915.0
3013754821,16/01/2021,0,1.26,0.0,1915.0
3013754821,16/01/2021,1,1.26,0.0,1915.0
3013754821,16/01/2021,2,1.26,0.0,1915.0
3013754821,16/01/2021,3,1.26,0.0,1915.0
3013754821,16/01/2021,4,1.26,0.0,1915.0
3013754821,16/01/2021,5,1.26,0.0,1915.0
3013754821,16/01/2021,6,0.53,1.16,1915.0
3013754821,16/01/2021,7,0.0,33.08,1915.0
3013754821,16/01/2021,8,0.0,49.14,1915.0
3013754821,16/01/2021,9,0.0,74.55,1915.0
3013754821,16/01/2021,10,0.0,50.19,1915.0
3013754821,16/01/2021,11,0.0,54.92,1915.0
3013754821,16/01/2021,12,0.0,68.15,1915.0
3013754821,16/01/2021,13,0.0,167.79,1915.0
3013754821,16/01/2021,14,0.0,171.89,1915.0
3013754821,16/01/2021,15,0.0,135.97,1915.0
3013754821,16/01/2021,16,0.0,54.18,1915.0
3013754821,16/01/2021,17,0.0,17.64,1915.0
3013754821,16/01/2021,18,0.21,1.68,1915.0
3013754821,16/01/2021,19,1.26,0.0,1915.0
3013754821,16/01/2021,20,1.26,0.0,1915.0
3013754821,16/01/2021,21,1.26,0.0,1915.0
3013754821,16/01/2021,22,1.37,0.0,1915.0
3013754821,16/01/2021,23,1.26,0.0,1915.0
3013754821,17/01/2021,0,1.26,0.0,1915.0
3013754821,17/01/2021,1,1.26,0.0,1915.0
3013754821,17/01/2021,2,1.26,0.0,1915.0
3013754821,17/01/2021,3,1.26,0.0,1915.0
3013754821,17/01/2021,4,1.26,0.0,1915.0
3013754821,17/01/2021,5,1.26,0.0,1915.0
3013754821,17/01/2021,6,0.63,0.84,1915.0
3013754821,17/01/2021,7,0.0,26.88,1915.0
3013754821,17/01/2021,8,0.0,73.71,1915.0
3013754821,17/01/2021,9,0.0,144.17,1915.0
3013754821,17/01/2021,10,0.0,235.31,1915.0
3013754821,17/01/2021,11,0.0,234.89,1915.0
3013754821,17/01/2021,12,0.0,251.79,1915.0
3013754821,17/01/2021,13,0.0,188.79,1915.0
3013754821,17/01/2021,14,0.0,53.66,1915.0
3013754821,17/01/2021,15,0.0,83.58,1915.0
3013754821,17/01/2021,16,0.0,50.72,1915.0
3013754821,17/01/2021,17,0.0,32.76,1915.0
3013754821,17/01/2021,18,0.11,8.93,1915.0
3013754821,17/01/2021,19,1.26,0.0,1915.0
3013754821,17/01/2021,20,1.26,0.0,1915.0
3013754821,17/01/2021,21,1.26,0.0,1915.0
3013754821,17/01/2021,22,1.37,0.0,1915.0
3013754821,17/01/2021,23,1.26,0.0,1915.0
3013754821,18/01/2021,0,1.26,0.0,1915.0
3013754821,18/01/2021,1,1.16,0.0,1915.0
3013754821,18/01/2021,2,1.26,0.0,1915.0
3013754821,18/01/2021,3,1.26,0.0,1915.0
3013754821,18/01/2021,4,1.26,0.0,1915.0
3013754821,18/01/2021,5,1.16,0.0,1915.0
3013754821,18/01/2021,6,0.11,13.86,1915.0
3013754821,18/01/2021,7,0.0,68.25,1915.0
3013754821,18/01/2021,8,0.0,144.06,1915.0
3013754821,18/01/2021,9,0.0,174.93,1915.0
3013754821,18/01/2021,10,0.0,222.81,1915.0
3013754821,18/01/2021,11,0.0,230.06,1915.0
3013754821,18/01/2021,12,0.0,240.56,1915.0
3013754821,18/01/2021,13,0.0,121.28,1915.0
3013754821,18/01/2021,14,0.0,171.89,1915.0
3013754821,18/01/2021,15,0.0,174.3,1915.0
3013754821,18/01/2021,16,0.0,105.32,1915.0
3013754821,18/01/2021,17,0.0,38.33,1915.0
3013754821,18/01/2021,18,0.21,9.03,1915.0
3013754821,18/01/2021,19,1.26,0.0,1915.0
3013754821,18/01/2021,20,1.26,0.0,1915.0
3013754821,18/01/2021,21,1.26,0.0,1915.0
3013754821,18/01/2021,22,1.37,0.0,1915.0
3013754821,18/01/2021,23,1.16,0.0,1915.0
3013754821,19/01/2021,0,1.26,0.0,1915.0
3013754821,19/01/2021,1,1.26,0.0,1915.0
3013754821,19/01/2021,2,1.26,0.0,1915.0
3013754821,19/01/2021,3,1.16,0.0,1915.0
3013754821,19/01/2021,4,1.26,0.0,1915.0
3013754821,19/01/2021,5,1.05,0.0,1915.0
3013754821,19/01/2021,6,0.0,9.87,1915.0
3013754821,19/01/2021,7,0.0,52.61,1915.0
3013754821,19/01/2021,8,0.0,88.83,1915.0
3013754821,19/01/2021,9,0.0,133.67,1915.0
3013754821,19/01/2021,10,0.0,200.87,1915.0
3013754821,19/01/2021,11,0.0,203.18,1915.0
3013754821,19/01/2021,12,0.0,198.66,1915.0
3013754821,19/01/2021,13,0.0,209.37,1915.0
3013754821,19/01/2021,14,0.0,223.34,1915.0
3013754821,19/01/2021,15,0.0,186.38,1915.0
3013754821,19/01/2021,16,0.0,150.89,1915.0
3013754821,19/01/2021,17,0.0,67.31,1915.0
3013754821,19/01/2021,18,0.21,10.19,1915.0
3013754821,19/01/2021,19,1.26,0.0,1915.0
3013754821,19/01/2021,20,1.26,0.0,1915.0
3013754821,19/01/2021,21,1.26,0.0,1915.0
3013754821,19/01/2021,22,1.26,0.0,1915.0
3013754821,19/01/2021,23,1.26,0.0,1915.0
3013754821,20/01/2021,0,1.16,0.0,1915.0
3013754821,20/01/2021,1,1.26,0.0,1915.0
3013754821,20/01/2021,2,1.26,0.0,1915.0
3013754821,20/01/2021,3,1.26,0.0,1915.0
3013754821,20/01/2021,4,1.16,0.0,1915.0
3013754821,20/01/2021,5,1.26,0.0,1915.0
3013754821,20/01/2021,6,0.11,6.2,1915.0
3013754821,20/01/2021,7,0.0,63.63,1915.0
3013754821,20/01/2021,8,0.0,141.12,1915.0
3013754821,20/01/2021,9,0.0,200.76,1915.0
3013754821,20/01/2021,10,0.0,238.98,1915.0
3013754821,20/01/2021,11,0.0,251.27,1915.0
3013754821,20/01/2021,12,0.0,238.46,1915.0
3013754821,20/01/2021,13,0.0,243.39,1915.0
3013754821,20/01/2021,14,0.0,211.68,1915.0
3013754821,20/01/2021,15,0.0,188.37,1915.0
3013754821,20/01/2021,16,0.0,145.95,1915.0
3013754821,20/01/2021,17,0.0,61.53,1915.0
3013754821,20/01/2021,18,0.32,8.19,1915.0
3013754821,20/01/2021,19,1.16,0.0,1915.0
3013754821,20/01/2021,20,1.26,0.0,1915.0
3013754821,20/01/2021,21,1.26,0.0,1915.0
3013754821,20/01/2021,22,1.26,0.0,1915.0
3013754821,20/01/2021,23,1.26,0.0,1915.0
3013754821,21/01/2021,0,1.16,0.0,1915.0
3013754821,21/01/2021,1,1.26,0.0,1915.0
3013754821,21/01/2021,2,1.26,0.0,1915.0
3013754821,21/01/2021,3,1.26,0.0,1915.0
3013754821,21/01/2021,4,1.16,0.0,1915.0
3013754821,21/01/2021,5,1.26,0.0,1915.0
3013754821,21/01/2021,6,0.0,7.98,1915.0
3013754821,21/01/2021,7,0.0,61.74,1915.0
3013754821,21/01/2021,8,0.0,138.28,1915.0
3013754821,21/01/2021,9,0.0,208.01,1915.0
3013754821,21/01/2021,10,0.0,243.29,1915.0
3013754821,21/01/2021,11,0.0,268.91,1915.0
3013754821,21/01/2021,12,0.0,234.36,1915.0
3013754821,21/01/2021,13,0.0,182.18,1915.0
3013754821,21/01/2021,14,0.0,239.19,1915.0
3013754821,21/01/2021,15,0.0,130.31,1915.0
3013754821,21/01/2021,16,0.0,144.38,1915.0
3013754821,21/01/2021,17,0.0,63.53,1915.0
3013754821,21/01/2021,18,0.21,6.62,1915.0
3013754821,21/01/2021,19,1.26,0.0,1915.0
3013754821,21/01/2021,20,1.26,0.0,1915.0
3013754821,21/01/2021,21,1.26,0.0,1915.0
3013754821,21/01/2021,22,1.26,0.0,1915.0
3013754821,21/01/2021,23,1.26,0.0,1915.0
3013754821,22/01/2021,0,1.26,0.0,1915.0
3013754821,22/01/2021,1,1.26,0.0,1915.0
3013754821,22/01/2021,2,1.16,0.0,1915.0
3013754821,22/01/2021,3,1.26,0.0,1915.0
3013754821,22/01/2021,4,1.26,0.0,1915.0
3013754821,22/01/2021,5,1.16,0.0,1915.0
3013754821,22/01/2021,6,0.21,4.62,1915.0
3013754821,22/01/2021,7,0.0,38.75,1915.0
3013754821,22/01/2021,8,0.0,77.39,1915.0
3013754821,22/01/2021,9,0.0,168.1,1915.0
3013754821,22/01/2021,10,0.0,199.19,1915.0
3013754821,22/01/2021,11,0.0,256.1,1915.0
3013754821,22/01/2021,12,0.0,258.83,1915.0
3013754821,22/01/2021,13,0.0,222.5,1915.0
3013754821,22/01/2021,14,0.0,224.39,1915.0
3013754821,22/01/2021,15,0.0,199.5,1915.0
3013754821,22/01/2021,16,0.0,139.65,1915.0
3013754821,22/01/2021,17,0.0,47.99,1915.0
3013754821,22/01/2021,18,0.21,7.14,1915.0
3013754821,22/01/2021,19,1.26,0.0,1915.0
3013754821,22/01/2021,20,1.26,0.0,1915.0
3013754821,22/01/2021,21,1.26,0.0,1915.0
3013754821,22/01/2021,22,1.26,0.0,1915.0
