CodGeraMT,DATA,HORA,KWH_CONSUMIDO,KWH_INJETADO_GD,POTENCIA_INSTALADA 
3013755037,12/01/2021,0,5.25,0.0,1000.0
3013755037,12/01/2021,1,4.83,0.0,1000.0
3013755037,12/01/2021,2,5.04,0.0,1000.0
3013755037,12/01/2021,3,5.25,0.0,1000.0
3013755037,12/01/2021,4,5.04,0.0,1000.0
3013755037,12/01/2021,5,4.41,0.0,1000.0
3013755037,12/01/2021,6,0.0,32.13,1000.0
3013755037,12/01/2021,7,0.0,186.48,1000.0
3013755037,12/01/2021,8,0.0,704.13,1000.0
3013755037,12/01/2021,9,0.0,789.39,1000.0
3013755037,12/01/2021,10,0.0,1005.48,1000.0
3013755037,12/01/2021,11,0.0,987.42,1000.0
3013755037,12/01/2021,12,0.0,1014.09,1000.0
3013755037,12/01/2021,13,0.0,1013.67,1000.0
3013755037,12/01/2021,14,0.0,985.95,1000.0
3013755037,12/01/2021,15,0.0,996.87,1000.0
3013755037,12/01/2021,16,0.0,578.55,1000.0
3013755037,12/01/2021,17,0.0,164.64,1000.0
3013755037,12/01/2021,18,2.1,20.16,1000.0
3013755037,12/01/2021,19,5.04,0.0,1000.0
3013755037,12/01/2021,20,5.04,0.0,1000.0
3013755037,12/01/2021,21,5.04,0.0,1000.0
3013755037,12/01/2021,22,5.25,0.0,1000.0
3013755037,12/01/2021,23,4.83,0.0,1000.0
3013755037,13/01/2021,0,5.04,0.0,1000.0
3013755037,13/01/2021,1,5.04,0.0,1000.0
3013755037,13/01/2021,2,5.04,0.0,1000.0
3013755037,13/01/2021,3,5.25,0.0,1000.0
3013755037,13/01/2021,4,5.04,0.0,1000.0
3013755037,13/01/2021,5,2.52,6.51,1000.0
3013755037,13/01/2021,6,0.0,375.69,1000.0
3013755037,13/01/2021,7,0.0,630.63,1000.0
3013755037,13/01/2021,8,0.0,531.72,1000.0
3013755037,13/01/2021,9,0.0,788.55,1000.0
3013755037,13/01/2021,10,0.0,804.3,1000.0
3013755037,13/01/2021,11,0.0,752.64,1000.0
3013755037,13/01/2021,12,0.0,775.11,1000.0
3013755037,13/01/2021,13,0.0,965.16,1000.0
3013755037,13/01/2021,14,0.0,956.55,1000.0
3013755037,13/01/2021,15,0.0,503.58,1000.0
3013755037,13/01/2021,16,0.0,929.04,1000.0
3013755037,13/01/2021,17,0.0,577.29,1000.0
3013755037,13/01/2021,18,2.31,9.87,1000.0
3013755037,13/01/2021,19,5.25,0.0,1000.0
3013755037,13/01/2021,20,5.04,0.0,1000.0
3013755037,13/01/2021,21,5.25,0.0,1000.0
3013755037,13/01/2021,22,4.83,0.0,1000.0
3013755037,13/01/2021,23,5.04,0.0,1000.0
3013755037,14/01/2021,0,5.25,0.0,1000.0
3013755037,14/01/2021,1,5.04,0.0,1000.0
3013755037,14/01/2021,2,5.04,0.0,1000.0
3013755037,14/01/2021,3,4.83,0.0,1000.0
3013755037,14/01/2021,4,5.04,0.0,1000.0
3013755037,14/01/2021,5,2.73,4.41,1000.0
3013755037,14/01/2021,6,0.0,336.0,1000.0
3013755037,14/01/2021,7,0.0,875.49,1000.0
3013755037,14/01/2021,8,0.0,871.5,1000.0
3013755037,14/01/2021,9,0.0,837.48,1000.0
3013755037,14/01/2021,10,0.0,679.35,1000.0
3013755037,14/01/2021,11,0.0,742.35,1000.0
3013755037,14/01/2021,12,0.0,740.88,1000.0
3013755037,14/01/2021,13,0.0,597.87,1000.0
3013755037,14/01/2021,14,0.0,767.97,1000.0
3013755037,14/01/2021,15,0.0,780.15,1000.0
3013755037,14/01/2021,16,0.0,545.58,1000.0
3013755037,14/01/2021,17,0.0,529.83,1000.0
3013755037,14/01/2021,18,2.31,6.93,1000.0
3013755037,14/01/2021,19,5.04,0.0,1000.0
3013755037,14/01/2021,20,5.25,0.0,1000.0
3013755037,14/01/2021,21,4.83,0.0,1000.0
3013755037,14/01/2021,22,5.04,0.0,1000.0
3013755037,14/01/2021,23,5.04,0.0,1000.0
3013755037,15/01/2021,0,5.04,0.0,1000.0
3013755037,15/01/2021,1,4.83,0.0,1000.0
3013755037,15/01/2021,2,5.04,0.0,1000.0
3013755037,15/01/2021,3,5.04,0.0,1000.0
3013755037,15/01/2021,4,5.04,0.0,1000.0
3013755037,15/01/2021,5,2.94,18.27,1000.0
3013755037,15/01/2021,6,0.0,245.28,1000.0
3013755037,15/01/2021,7,0.0,445.2,1000.0
3013755037,15/01/2021,8,0.0,879.9,1000.0
3013755037,15/01/2021,9,0.0,750.12,1000.0
3013755037,15/01/2021,10,0.0,817.11,1000.0
3013755037,15/01/2021,11,0.0,548.73,1000.0
3013755037,15/01/2021,12,0.0,656.46,1000.0
3013755037,15/01/2021,13,0.0,631.68,1000.0
3013755037,15/01/2021,14,0.0,706.02,1000.0
3013755037,15/01/2021,15,0.0,251.58,1000.0
3013755037,15/01/2021,16,0.0,217.98,1000.0
3013755037,15/01/2021,17,0.42,244.44,1000.0
3013755037,15/01/2021,18,2.31,9.66,1000.0
3013755037,15/01/2021,19,5.04,0.0,1000.0
3013755037,15/01/2021,20,5.04,0.0,1000.0
3013755037,15/01/2021,21,5.04,0.0,1000.0
3013755037,15/01/2021,22,5.04,0.0,1000.0
3013755037,15/01/2021,23,5.04,0.0,1000.0
3013755037,16/01/2021,0,4.83,0.0,1000.0
3013755037,16/01/2021,1,4.83,0.0,1000.0
3013755037,16/01/2021,2,5.04,0.0,1000.0
3013755037,16/01/2021,3,4.83,0.0,1000.0
3013755037,16/01/2021,4,4.83,0.0,1000.0
3013755037,16/01/2021,5,2.94,6.09,1000.0
3013755037,16/01/2021,6,0.0,428.82,1000.0
3013755037,16/01/2021,7,0.0,785.82,1000.0
3013755037,16/01/2021,8,0.0,807.87,1000.0
3013755037,16/01/2021,9,0.0,800.52,1000.0
3013755037,16/01/2021,10,0.0,882.84,1000.0
3013755037,16/01/2021,11,0.0,922.95,1000.0
3013755037,16/01/2021,12,0.0,891.03,1000.0
3013755037,16/01/2021,13,0.0,832.02,1000.0
3013755037,16/01/2021,14,0.0,711.69,1000.0
